cmtId,itemId,comment,price,service,ship,performance,genuine,configuration,access,other,model
6163756420.0,3066084859,hàng  mua về bàn_phím dùng không êm. liên_hệ shop không dám trả_lời . mọi người chú_ý đặt_hàng shop . làm_ăn treo đầu dê . bán thịt,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
11886201033.0,20011286067,giao thiếu hàng đặt một sét chuột bàn_phím giao chuột . tốc_độ ship chậm shop nghe nhắn_tin trả_lời . shop làm_ăn buồn shop .,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9578948198.0,20011286067,"sản_phẩm kém chất_lượng , giao thiếu đồ , kết_nối khó , không chơi game , nói_chung chán",0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
10544446409.0,7134465302,nhận thấy vỡ . đáng nhẽ trả hàng hoàn_tiền . đồ điện_tử vỡ thế_này chả biết dùng lâu . thôi . hơi lách_cách bận thời_gian . nhắn_tin shop thấy trả_lời .,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
10092566090.0,7134465302,"chất_lượng sản_phẩm chất_lượng hàng giao nhanh , sản_phẩm chán vài nút ấn dùng ký tự phím_ấn thích",0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0
12105060989.0,1833183314,"mua về hai bữa bàn_phím bắt_đầu lỗi , bàn_phím thường_xuyên nhận lệnh nói_chung",0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
8141945618.0,12882301465,thất_vọng tràn trề dùng vài ngày hư chuột kết_nối,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
12003045671.0,12882301465,ưng một_chút nào tôi đặt bàn_phím mà_lại đi giao chuột,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
11868857946.0,22069154031,chất_lượng sản_phẩm bể không thể ấn_phím,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
11404580599.0,1078254882,"cắm mất chữ_u , rút vứt đấy mai cắm mất thêm chữ , biết giá rẻ đến mức dùng ngày nào _",0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
