,id,cmt,price,service,ship,performance,genuine,configuration,access,other,model
0,19360301,giao hàng nhanh . hàng chính hãng đẹp giới_thiệu . hài_lòng,0,0,1,0,1,0,0,0,1
1,18884049,nhanh_chóng kỹ máy hịn cám_ơn shop tiki,0,0,1,0,0,0,0,0,0
2,18593332,"hàng đẹp , phụ_kiện đầy_đủ , máy cầm đầm tay_chơi game mượt_thơm mùi polime . cảm_ơn shop nhé",0,0,0,0,0,0,1,0,1
3,18540856,"quá tốt giá tiền . mua cha sử_dụng lướt_mượt , loa lớn . điện_thoại nhìn ngầu_nha",1,0,0,1,0,1,0,0,0
4,18474709,dùng khá ổn tầm tiền bỏ . giáo hàng bọc cẩn_thận . hài_lòng,1,0,1,0,0,0,0,0,0
5,19046754,hàng chất_lượng nhất máy phân_khúc giá,0,0,0,0,0,0,0,1,0
6,18602270,"hàng tốt , giá sale thấy khác bình_thường",1,0,0,0,0,0,0,0,0
7,18597446,"hàng giao nguyên_seal , giao hàng nhanh , trải_nghiệm ok , mọi người_thể trải_nghiệm thử",0,0,1,0,1,0,0,0,0
8,19094712,"máy ngon trong tầm_giá , ko mong camera đẹp , ai dùng cơ_bản ok",1,0,0,0,0,0,0,1,0
9,19173165,nhận hàng đẹp . giá ổn nha,1,0,1,0,0,0,0,0,1
10,18990237,thiết_kế đẹp giá tốt hiệu_năng ok,1,0,0,0,0,0,0,0,1
11,18650544,"ok , sài khoảng thời_gian đánh_giá tiếp .",0,0,0,0,0,0,0,1,0
12,18391539,"đống gói kỹ , số đẹp sài oke luôn",0,0,1,0,0,0,0,0,1
13,18483732,"xài mượt , pin trâu còn rẻ",1,0,0,1,0,1,0,0,0
14,16813097,"vận_chuyển hàng nhanh . shop tư_vấn nhiệt_tình , lựa_chọn paperwhite kids , màu_sắc ốp lưng . cực_kì hài_lòng . máy nguyên tem_nguyên phụ_kiện . đóng_gói cẩn_thận .",0,1,1,0,1,0,1,0,1
15,16914390,"lần đầu_tiên mua hàng điện_tử khá ok … riêng_thể vận_chuyển hộp hàng móp méo_rách , hàng đóng_gói kĩ",0,0,2,0,0,0,0,0,2
16,18316408,"sản_phẩm còn nguyên seal chính hãng , đầy_đủ mọi phụ_kiện . giao hàng nhanh_gói hàng cẩn_thận . thêm cảnh_báo hàng dễ vỡ . tuy may_mắn nhận bản kid hi_vọng máy dùng bền .",0,0,1,0,1,0,1,0,0
17,15759843,"màn_hình sáng , nắp lưng nhám nhẹ cầm thích tay duy_nút nguồn chính giữa , mình hay đặt giá đỡ điện_thoại đọc hay tắt màn_hình đè nút nguồn",0,0,0,0,0,2,2,0,0
18,14089470,"sản_phẩm tốt , giao hàng nhanh . kèm bao da . shop hỗ_trọ nhanh nhiệt_tình",0,1,1,0,0,0,2,0,0
19,15737008,"hàng ok , vấn_đề hết . quá ổn_áp",0,0,0,0,0,0,0,1,0
20,19051891,shop tư_vấn quá nhiệt_tình luôn,0,1,0,0,0,0,0,0,0
21,18293776,"sản_phẩm chất_lượng tốt , đọc thích mắt , đèn nền vàng giúp đọc sách đi ngủ hay",0,0,0,0,0,1,0,1,0
22,18981195,"dù hàng refurbished nhg chất_lượng ok ko biết kích_hoạt bảo_hành thế_nào , mua hàng new bảo_hành hệ_thống",0,0,0,0,1,0,0,0,0
23,16907879,đầu giật lác nhé . khởi_động vài lần hết,0,0,0,2,0,0,0,0,0
